index,dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,count,generalization_score,complexity_score
781,STRICT,config_kfold,KNeighborsClassifier,robust,undersample,on,0.34376396533234355,0.0906967352797542,8960,0.25306723005258935,4
313,IMPUTED,config_loo,QuadraticDiscriminantAnalysis,robust,undersample,on,0.31710125787368004,0.06446520464366945,84,0.2526360532300106,4
863,STRICT,config_kfold,QuadraticDiscriminantAnalysis,robust,smoteenn,on,0.3399142085887513,0.08734068887531188,3360,0.25257351971343944,4
129,IMPUTED,config_kfold,QuadraticDiscriminantAnalysis,robust,smoteenn,on,0.3185488279198846,0.06600294903817659,3360,0.252545878881708,4
305,IMPUTED,config_loo,QuadraticDiscriminantAnalysis,none,undersample,off,0.2918909317267823,0.03936963675884256,12,0.25252129496793974,2
553,IMPUTED,config_strat80,GaussianNB,maxabs,smote,on,0.4226321007655324,0.17035588388221784,1680,0.2522762168833146,4
735,STRICT,config_kfold,GaussianNB,maxabs,none,on,0.30190368572729803,0.04964361254861256,756,0.2522600731786855,3
1123,STRICT,config_random80,GaussianNB,standard,smoteenn,off,0.36837625347109537,0.11612610283630019,228,0.25225015063479517,3
567,IMPUTED,config_strat80,GaussianNB,robust,smoteenn,on,0.40795005618237706,0.15602346712756238,1680,0.2519265890548147,4
134,IMPUTED,config_kfold,QuadraticDiscriminantAnalysis,standard,smote,off,0.3064183074959212,0.05453397871402333,480,0.25188432878189787,3
1043,STRICT,config_loo,QuadraticDiscriminantAnalysis,robust,smote,on,0.32866618944413706,0.07729114221243827,168,0.2513750472316988,4
