dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,median,min,max,count,range,cv_ratio
IMPUTED,config_strat80,LinearDiscriminantAnalysis,robust,none,off,0.48188161713903616,0.16203236430180543,0.49607021632979176,0.2270531400966183,0.7679476477883045,20,0.5408945076916862,0.3362493163026275
IMPUTED,config_strat80,LinearDiscriminantAnalysis,standard,none,off,0.48188161713903616,0.16203236430180543,0.49607021632979176,0.2270531400966183,0.7679476477883045,20,0.5408945076916862,0.3362493163026275
IMPUTED,config_kfold,LogisticRegression,standard,smoteenn,on,0.4818792570678166,0.046118900634082916,0.4820286366396349,0.3397580294085656,0.6301246523717019,6720,0.2903666229631363,0.09570634128290033
STRICT,config_random80,LogisticRegression,standard,smote,on,0.4815795130313094,0.16297738251329313,0.4796874435475382,0.0321744726043893,0.9211323729436768,3360,0.8889579003392875,0.3384225825709021
STRICT,config_strat80,LinearDiscriminantAnalysis,maxabs,none,off,0.48156992315065705,0.13162159256986405,0.49856255684579104,0.2182178902359923,0.6825396825396826,20,0.46432179230369025,0.2733177182427292
STRICT,config_strat80,LinearDiscriminantAnalysis,none,none,off,0.48156992315065705,0.13162159256986405,0.49856255684579104,0.2182178902359923,0.6825396825396826,20,0.46432179230369025,0.2733177182427292
STRICT,config_strat80,LinearDiscriminantAnalysis,robust,none,off,0.48156992315065705,0.13162159256986405,0.49856255684579104,0.2182178902359923,0.6825396825396826,20,0.46432179230369025,0.2733177182427292
STRICT,config_strat80,LinearDiscriminantAnalysis,standard,none,off,0.48156992315065705,0.13162159256986405,0.49856255684579104,0.2182178902359923,0.6825396825396826,20,0.46432179230369025,0.2733177182427292
IMPUTED,config_random80,SVC,standard,undersample,on,0.4812940319235101,0.15927455830533857,0.4938291646584311,0.0897303170096942,0.8320502943378436,1680,0.7423199773281495,0.3309298427590961
IMPUTED,config_kfold,SVC,standard,smoteenn,on,0.4812638773456337,0.048518395766165436,0.481881562989532,0.3189081264015977,0.6236909872454803,5684,0.3047828608438826,0.10081453865551711
STRICT,config_loo,SVC,standard,smote,on,0.4811350631365751,0.06582841357759682,0.4771061411472772,-0.1856953381770519,0.6081055153583631,233,0.793800853535415,0.13681899038588827
IMPUTED,config_kfold,LinearDiscriminantAnalysis,standard,undersample,on,0.48079696883772993,0.04954825133218,0.4817104549402841,0.347120196229555,0.6069361980968813,560,0.2598160018673263,0.1030544170275388
STRICT,config_strat80,LinearDiscriminantAnalysis,standard,smote,on,0.4800257500658139,0.16238064790180495,0.5048267902790238,-0.0291605921759902,0.8412698412698413,560,0.8704304334458315,0.3382748693784485
STRICT,config_kfold,LogisticRegression,standard,none,off,0.48001573336606695,0.04306750888109295,0.47744723261744976,0.3855007065387749,0.5804545769617376,240,0.19495387042296275,0.08972103597331266
STRICT,config_loo,LogisticRegression,standard,undersample,off,0.47968323562445075,0.021762800023193668,0.4777053374829322,0.4359784161562407,0.5189784147503389,24,0.08299999859409818,0.04536910695839286
